"","4399988","4454257","691423"
"1",0,5199,0
"2",0,5199,0
"3",0,5199,0
"4",0,5199,0
"5",0,5199,0
"6",0,5199,0
"7",0,5199,0
"8",0,5199,0
"9",625,4574,0
"10",0,5199,0
"11",0,5199,0
"12",0,5199,0
"13",0,5199,0
"14",0,5199,0
"15",0,5199,0
"16",0,5199,0
"17",0,5199,0
"18",0,5199,0
"19",0,5199,0
"20",0,5199,0
"21",0,5199,0
"22",0,5199,0
"23",0,5199,0
"24",0,5199,0
"25",0,5199,0
"26",0,5199,0
"27",0,5199,0
"28",0,5199,0
"29",0,5199,0
"30",0,5199,0
"31",0,5199,0
"32",0,5199,0
"33",0,5199,0
"34",0,5199,0
"35",0,5199,0
"36",0,5199,0
"37",0,2307,2892
"38",0,5199,0
"39",0,5199,0
"40",0,5199,0
"41",0,5199,0
"42",0,5199,0
"43",0,5199,0
"44",0,5199,0
"45",0,5199,0
"46",0,5199,0
"47",0,5199,0
"48",0,5199,0
"49",0,5199,0
"50",0,5199,0
"51",0,5199,0
"52",0,5199,0
"53",0,5199,0
"54",0,5199,0
"55",1668,3531,0
"56",0,5199,0
"57",4038,1161,0
"58",0,5199,0
"59",0,5199,0
"60",0,5199,0
"61",0,5199,0
"62",1049,4150,0
"63",0,5199,0
"64",0,5199,0
"65",0,5199,0
"66",0,5199,0
"67",0,5199,0
"68",0,5199,0
"69",0,5199,0
"70",0,5199,0
"71",0,5199,0
"72",0,5199,0
"73",0,5199,0
"74",0,4395,804
"75",0,5199,0
"76",0,5199,0
"77",0,5199,0
"78",0,5199,0
"79",0,5199,0
"80",0,5199,0
"81",0,5199,0
"82",0,5199,0
"83",0,5199,0
"84",0,5199,0
"85",0,5199,0
"86",0,5199,0
"87",0,4157,1042
"88",0,5199,0
"89",0,5199,0
"90",0,5199,0
"91",0,5199,0
"92",0,5199,0
"93",0,5199,0
"94",0,5199,0
"95",0,5199,0
"96",914,4285,0
"97",0,4693,506
"98",0,5199,0
"99",0,5199,0
"100",0,5199,0
"101",0,5199,0
"102",0,5199,0
"103",0,5199,0
"104",0,5199,0
"105",0,5199,0
"106",0,5199,0
"107",0,5199,0
"108",0,5199,0
"109",0,5199,0
"110",0,5199,0
"111",0,5199,0
"112",0,5199,0
"113",0,5199,0
"114",0,5199,0
"115",0,5199,0
"116",0,5199,0
"117",0,5199,0
"118",0,5199,0
"119",0,5199,0
"120",0,4038,1161
"121",0,5199,0
"122",0,5199,0
"123",0,4870,329
"124",0,5199,0
"125",0,5199,0
"126",0,5199,0
"127",0,5199,0
"128",0,5199,0
"129",0,5199,0
"130",0,5199,0
"131",0,5199,0
"132",0,5199,0
"133",0,5199,0
"134",0,5199,0
"135",0,5199,0
"136",0,5199,0
"137",0,5199,0
"138",0,5199,0
"139",0,5199,0
"140",0,5199,0
"141",0,5199,0
"142",0,5199,0
"143",0,5199,0
"144",0,5199,0
"145",0,5199,0
"146",0,5199,0
"147",0,5199,0
"148",0,5199,0
"149",0,5199,0
"150",0,5199,0
"151",0,5199,0
"152",0,5199,0
"153",0,5199,0
"154",0,5199,0
"155",0,5199,0
"156",0,5199,0
"157",0,5199,0
"158",0,5199,0
"159",0,5199,0
"160",0,5199,0
"161",0,5199,0
"162",0,5199,0
"163",0,5199,0
"164",0,5199,0
"165",0,4501,698
"166",0,5199,0
"167",0,5199,0
"168",0,5199,0
"169",0,5199,0
"170",0,5199,0
"171",0,5199,0
"172",0,5199,0
"173",0,5199,0
"174",0,5192,7
"175",0,5199,0
"176",0,5199,0
"177",0,5199,0
"178",0,5199,0
"179",0,5199,0
"180",0,5199,0
"181",0,5199,0
"182",0,5199,0
"183",0,5199,0
"184",0,5199,0
"185",0,5199,0
"186",0,5199,0
"187",0,5199,0
"188",0,5199,0
"189",0,5199,0
"190",0,5199,0
"191",0,5199,0
"192",0,5199,0
"193",0,5199,0
"194",0,5199,0
"195",0,5199,0
"196",0,5199,0
"197",0,5199,0
"198",0,5199,0
"199",0,5199,0
"200",0,5199,0
"201",0,5199,0
"202",0,5199,0
"203",0,5199,0
"204",0,5199,0
"205",0,5199,0
"206",0,5199,0
"207",0,4583,616
"208",0,5199,0
"209",0,5199,0
"210",0,5199,0
"211",0,5199,0
"212",0,5199,0
"213",0,5199,0
"214",0,4680,519
"215",0,5199,0
"216",0,5199,0
"217",0,4586,613
"218",0,4105,1094
"219",0,5199,0
"220",0,5199,0
"221",0,5199,0
"222",0,5199,0
"223",0,5199,0
"224",0,5199,0
"225",0,5199,0
"226",0,5199,0
"227",0,5199,0
"228",0,5199,0
"229",0,5199,0
"230",0,5199,0
"231",0,4269,930
"232",0,5199,0
"233",0,5199,0
"234",0,5199,0
"235",0,5199,0
"236",0,5199,0
"237",0,5199,0
"238",0,5199,0
"239",0,5199,0
"240",0,5199,0
"241",0,5199,0
"242",0,5199,0
"243",0,5199,0
"244",0,5199,0
"245",0,5199,0
"246",0,5199,0
"247",0,5199,0
"248",0,5199,0
"249",0,5199,0
"250",0,5199,0
"251",0,5199,0
"252",0,5199,0
"253",0,5199,0
"254",0,5199,0
"255",0,5199,0
"256",0,5199,0
"257",0,5199,0
"258",0,5199,0
"259",0,5199,0
"260",0,5199,0
"261",0,5199,0
"262",0,5199,0
"263",0,5199,0
"264",0,5199,0
"265",0,5199,0
"266",0,5199,0
"267",0,5199,0
"268",0,5199,0
"269",0,5199,0
"270",0,5199,0
"271",0,5199,0
"272",0,5199,0
"273",0,5199,0
"274",0,5199,0
"275",0,5199,0
"276",0,5199,0
"277",0,5199,0
"278",0,5199,0
"279",0,5199,0
"280",0,5199,0
"281",0,5199,0
"282",0,5199,0
"283",0,5199,0
"284",0,5199,0
"285",0,5199,0
"286",0,5199,0
"287",0,5199,0
"288",0,5199,0
"289",0,5199,0
"290",0,5199,0
"291",0,5199,0
"292",0,5199,0
"293",0,5199,0
"294",0,5199,0
"295",0,5199,0
"296",0,5199,0
"297",0,5199,0
"298",0,5199,0
"299",0,5199,0
"300",0,5199,0
"301",0,5199,0
"302",0,5199,0
"303",0,5199,0
"304",0,5199,0
"305",0,5199,0
"306",0,5199,0
"307",0,4953,246
"308",0,5199,0
"309",0,5199,0
"310",0,5199,0
"311",0,5199,0
"312",0,5199,0
"313",0,5199,0
"314",0,5199,0
"315",0,5199,0
"316",0,5199,0
"317",0,5199,0
"318",0,5199,0
"319",0,5199,0
"320",0,5199,0
"321",0,5199,0
"322",0,5199,0
"323",0,5199,0
"324",0,5199,0
"325",0,5199,0
"326",0,5199,0
"327",0,5199,0
"328",0,5199,0
"329",0,5199,0
"330",0,5199,0
"331",0,5199,0
"332",0,5199,0
"333",0,5199,0
"334",0,5199,0
"335",0,5199,0
"336",0,5199,0
"337",0,5199,0
"338",0,5199,0
"339",0,5199,0
"340",0,5199,0
"341",0,5199,0
"342",0,5199,0
"343",0,5199,0
"344",0,5199,0
"345",0,5199,0
"346",0,5199,0
"347",0,5199,0
"348",0,5199,0
"349",0,5199,0
"350",0,5199,0
"351",0,5199,0
"352",0,4184,1015
"353",0,5199,0
"354",0,5199,0
"355",0,5199,0
"356",0,5199,0
"357",0,5199,0
"358",0,5199,0
"359",0,5199,0
"360",0,5199,0
"361",0,5199,0
"362",0,5199,0
"363",0,5199,0
"364",0,5199,0
"365",0,3287,1912
"366",0,5199,0
"367",0,5199,0
"368",0,5199,0
"369",0,5199,0
"370",0,5199,0
"371",0,5199,0
"372",0,5199,0
"373",0,5199,0
"374",0,5199,0
"375",0,5199,0
"376",0,5199,0
"377",0,5199,0
"378",0,5199,0
"379",0,5199,0
"380",0,5199,0
"381",0,5199,0
"382",0,5199,0
"383",0,5199,0
"384",0,5199,0
"385",0,5199,0
"386",0,5199,0
"387",0,5199,0
"388",0,5199,0
"389",0,5199,0
"390",0,5199,0
"391",0,5199,0
"392",0,5199,0
"393",0,5199,0
"394",0,5199,0
"395",0,5199,0
"396",0,5199,0
"397",0,5199,0
"398",0,5199,0
"399",0,5199,0
"400",0,5199,0
"401",0,5199,0
"402",0,5199,0
"403",0,5199,0
"404",0,5199,0
"405",0,5199,0
