"","333782","3622774","3643491","4327501","4343834","4349788","4419276","4432796","4451011","4456889","4461938","817209","836394"
"1",0,0,0,0,0,3227,1381,4275,0,1408,0,0,0
"2",0,0,0,0,0,6340,0,3005,0,317,629,0,0
"3",0,0,0,0,0,7500,605,1757,0,429,0,0,0
"4",0,0,0,0,0,3464,0,507,0,6320,0,0,0
"5",0,0,0,4414,0,4072,0,0,0,1805,0,0,0
"6",0,0,0,1607,0,0,2095,1636,0,4953,0,0,0
"7",0,0,834,744,0,0,0,6603,0,2110,0,0,0
"8",0,0,0,0,0,2592,4278,2575,0,846,0,0,0
"9",0,0,0,0,0,0,0,3922,0,6369,0,0,0
"10",0,0,0,0,0,2772,0,1005,2448,4066,0,0,0
"11",0,0,0,374,0,2619,1528,5770,0,0,0,0,0
"12",0,3663,0,0,0,890,0,4826,0,912,0,0,0
"13",0,0,0,3304,0,712,0,545,0,1987,0,0,3743
"14",0,0,0,223,0,3485,0,6276,0,307,0,0,0
"15",0,1244,0,0,0,3522,0,5525,0,0,0,0,0
"16",0,0,0,0,0,2714,1257,3811,0,2509,0,0,0
"1",0,0,0,862,0,5165,0,2864,0,1400,0,0,0
"2",0,0,0,0,5524,130,0,0,0,4637,0,0,0
"3",0,0,0,0,0,3952,2755,1620,0,1964,0,0,0
"4",0,0,0,675,0,3768,3028,0,0,2820,0,0,0
"5",0,0,0,4994,0,1148,0,2972,0,1177,0,0,0
"6",0,0,0,0,0,6024,0,4267,0,0,0,0,0
"7",0,0,0,0,0,3520,0,4746,0,1598,427,0,0
"8",0,0,0,1313,0,537,5040,1858,0,1543,0,0,0
"9",0,0,0,1865,0,2361,0,3267,0,2798,0,0,0
"10",0,0,0,1156,0,3133,1173,2106,0,0,2723,0,0
"11",0,0,0,0,0,3352,275,4990,751,923,0,0,0
"12",0,0,0,0,0,3158,2818,248,0,4067,0,0,0
"13",0,0,0,673,0,0,0,0,0,9618,0,0,0
"14",0,0,0,3006,0,461,446,6378,0,0,0,0,0
"15",0,2880,0,0,0,2337,0,0,0,2638,0,0,2436
"16",0,0,0,1251,0,729,0,1800,0,6511,0,0,0
"1",0,0,0,0,0,1641,5597,1087,0,1966,0,0,0
"2",0,0,0,0,0,7132,561,1824,0,774,0,0,0
"3",0,0,0,0,0,6051,739,3501,0,0,0,0,0
"4",0,0,0,0,0,1349,7566,816,0,560,0,0,0
"5",0,0,0,415,0,3975,0,2902,0,2999,0,0,0
"6",0,0,0,0,0,4682,0,1729,0,3880,0,0,0
"7",0,0,0,0,0,3426,1096,3527,0,2242,0,0,0
"8",0,0,0,0,0,3226,516,0,0,5671,0,0,878
"9",0,0,0,0,0,4308,0,683,0,5300,0,0,0
"10",0,0,0,213,0,866,948,7963,0,301,0,0,0
"11",0,0,0,0,0,3426,0,6715,0,150,0,0,0
"12",0,0,0,0,0,5201,0,4780,0,310,0,0,0
"13",0,1777,0,0,0,944,0,2692,0,1066,3117,695,0
"14",0,0,0,0,0,6865,0,3426,0,0,0,0,0
"15",0,0,0,0,0,4857,0,0,0,0,5434,0,0
"16",0,8,0,0,0,4953,0,4588,0,742,0,0,0
"1",0,0,0,2060,0,2683,291,2351,0,2906,0,0,0
"2",0,0,0,0,0,3246,2648,1592,0,2805,0,0,0
"3",1160,0,0,5753,0,2272,708,0,0,398,0,0,0
"4",0,0,0,0,0,2166,3,1571,0,6551,0,0,0
"5",0,0,0,0,0,1605,0,4534,0,4152,0,0,0
"6",0,0,0,2453,0,624,2932,1551,0,2731,0,0,0
"7",0,0,0,1866,0,5206,0,2572,0,647,0,0,0
