"","164915","4399988","4425571","4454257","4458775","691423"
"14",0,0,0,27242,0,466
"15",0,802,0,26906,0,0
"16",0,1356,0,26352,0,0
"1",0,0,0,27708,0,0
"2",0,2880,0,24828,0,0
"3",0,0,1015,26693,0,0
"4",2710,1227,0,23771,0,0
"5",0,0,0,27708,0,0
"6",0,0,0,20102,0,7606
"7",0,0,2123,25035,550,0
"8",0,1655,0,26053,0,0
"9",2687,2175,0,22846,0,0
"10",0,0,0,19764,0,7944
"11",0,19151,0,6615,0,1942
"12",0,0,3601,23975,132,0
"13",1054,76,0,23816,2762,0
"14",6471,0,0,17689,0,3548
"15",0,0,0,26059,1649,0
"16",0,0,9373,18335,0,0
"1",0,464,0,25734,0,1510
"2",0,0,0,27708,0,0
"3",0,0,0,27708,0,0
"4",2163,4163,0,21382,0,0
"5",0,6527,0,21181,0,0
"6",4190,0,0,23518,0,0
"7",0,3584,0,20580,0,3544
"8",0,0,0,23424,0,4284
"9",0,4753,0,22955,0,0
"10",0,0,0,27708,0,0
"11",0,0,0,27708,0,0
"12",1247,0,0,26461,0,0
"13",0,5573,0,22135,0,0
"14",0,0,0,27708,0,0
"15",0,2668,0,19746,0,5294
"16",0,0,0,27708,0,0
"1",0,0,0,27708,0,0
"2",0,0,0,27708,0,0
"3",0,0,0,25959,0,1749
"4",0,0,0,26556,0,1152
"5",0,0,0,27708,0,0
"6",5078,0,0,22630,0,0
"7",0,0,0,23244,0,4464
"8",0,3212,0,24496,0,0
"9",3989,912,0,21346,1461,0
"10",0,2473,0,22251,0,2984
"11",0,0,1274,25888,546,0
"12",0,0,8190,19518,0,0
"13",0,1221,2485,24002,0,0
"14",0,1091,0,26617,0,0
"15",3594,2213,0,21729,172,0
"16",0,0,0,22477,5231,0
"1",0,1782,0,23641,0,2285
"2",5970,0,0,21738,0,0
"3",5261,7781,0,14666,0,0
"4",0,1365,0,26343,0,0
"5",0,0,0,27483,0,225
"6",0,0,0,27708,0,0
"7",0,0,5689,22019,0,0
"8",0,0,0,27708,0,0
"9",0,0,0,26709,0,999
"10",8858,2118,0,16732,0,0
"11",0,0,5117,20655,0,1936
"12",0,0,0,27708,0,0
"13",0,0,0,27708,0,0
"14",0,0,0,27708,0,0
"15",0,0,4828,22880,0,0
"16",0,0,8330,19338,0,40
"1",0,0,0,27034,674,0
"2",0,0,2856,24462,0,390
"3",0,0,0,27708,0,0
"4",779,0,5032,21897,0,0
"5",0,7874,0,19834,0,0
"6",0,0,3581,24127,0,0
"7",0,0,0,18601,0,9107
"8",0,0,0,27496,0,212
"9",0,6490,0,21218,0,0
"10",409,6088,0,21211,0,0
"11",0,1607,0,26101,0,0
"12",0,6534,2032,19142,0,0
"13",0,95,1701,25516,0,396
"14",0,1192,2958,23558,0,0
"15",0,1719,0,25989,0,0
"16",0,0,0,27708,0,0
"1",0,0,0,27708,0,0
"2",5803,4361,0,17544,0,0
"3",2649,7358,7556,10145,0,0
"4",9431,0,0,18277,0,0
"5",0,0,0,27708,0,0
"6",0,0,0,27708,0,0
"7",10360,0,0,17348,0,0
"8",0,2431,5224,11520,0,8533
"9",0,0,0,27708,0,0
"10",6691,698,0,15328,4991,0
"11",0,397,0,23324,3987,0
"12",0,795,0,26913,0,0
"13",0,0,0,27708,0,0
"14",545,5073,0,17643,0,4447
"15",742,0,0,26966,0,0
"16",0,1593,0,26115,0,0
"1",0,3492,374,23592,250,0
"2",1025,3055,1438,22190,0,0
"3",0,0,0,27708,0,0
"4",0,1504,10484,15720,0,0
"5",0,129,0,27579,0,0
"6",0,0,0,27708,0,0
"7",0,0,0,25204,2504,0
"8",0,0,0,27125,583,0
"9",0,0,0,27708,0,0
"10",2442,0,79,25187,0,0
"11",0,5023,0,22685,0,0
"12",2351,5890,212,19255,0,0
"13",122,1581,0,26005,0,0
"14",0,0,0,25154,2554,0
"15",0,0,0,18372,0,9336
"16",0,0,0,27708,0,0
"1",0,0,0,27708,0,0
"2",0,2806,0,24902,0,0
"3",0,2696,93,24919,0,0
"4",0,2586,0,25122,0,0
"5",0,6830,0,17529,3349,0
"6",1839,0,0,25869,0,0
"7",0,8709,0,18999,0,0
"8",0,1581,0,26127,0,0
"9",0,0,0,24349,0,3359
"10",0,0,0,27661,0,47
"11",712,0,0,26996,0,0
"12",1322,0,503,25883,0,0
"13",0,0,0,27708,0,0
"14",0,7019,0,20689,0,0
"15",0,0,2729,24979,0,0
"16",0,14533,0,13175,0,0
"1",0,0,3094,24614,0,0
"2",1103,0,0,24858,0,1747
"3",0,0,3245,24463,0,0
"4",0,30,0,27678,0,0
"5",0,0,0,21837,0,5871
"6",0,8246,0,11605,0,7857
"7",0,6848,0,17780,0,3080
"8",0,0,0,25208,0,2500
"9",0,0,2152,21132,0,4424
"10",0,9303,0,18405,0,0
"11",0,0,0,27708,0,0
"12",0,1809,0,25899,0,0
"13",0,0,0,27708,0,0
"14",478,0,0,27230,0,0
"15",0,0,0,26095,0,1613
"16",0,0,0,27708,0,0
"1",0,0,2258,23088,0,2362
"2",0,0,0,27708,0,0
"3",0,0,0,27708,0,0
"4",0,0,3618,24090,0,0
"5",0,0,0,27708,0,0
"6",0,2891,0,24817,0,0
"7",0,780,0,19573,7355,0
"8",0,0,0,19024,0,8684
"9",0,9811,352,17545,0,0
"10",5953,0,0,17691,1725,2339
"11",0,0,0,27139,0,569
"12",0,5817,0,20825,0,1066
"13",0,0,0,27708,0,0
"14",1924,0,0,25784,0,0
"15",6115,0,0,21593,0,0
"16",1948,0,0,25760,0,0
"1",0,7386,0,20322,0,0
"2",0,9100,0,18608,0,0
"3",0,4503,0,23205,0,0
"4",0,5235,0,22473,0,0
"5",0,0,5215,22493,0,0
"6",0,0,0,27708,0,0
"7",6371,7666,0,13671,0,0
"8",2103,0,3006,22599,0,0
"9",0,11380,323,16005,0,0
"10",0,0,0,27708,0,0
"11",0,0,1573,26135,0,0
"12",0,0,0,27708,0,0
"13",0,5083,0,22625,0,0
"14",0,746,0,26962,0,0
"15",0,783,0,26925,0,0
"16",791,7502,0,19415,0,0
"1",2299,1800,0,22917,692,0
"2",0,0,0,27708,0,0
"3",0,2545,13372,3284,2886,5621
"4",0,545,3380,23783,0,0
"5",7963,0,0,19745,0,0
"6",0,0,0,27708,0,0
"7",0,4903,0,21868,937,0
"8",0,0,644,27064,0,0
"9",0,0,0,27708,0,0
"10",0,5489,0,22219,0,0
"11",0,0,0,27708,0,0
"12",0,0,0,27708,0,0
"13",0,0,0,27708,0,0
"14",2057,0,0,25651,0,0
"15",3251,0,1803,22602,52,0
"16",0,0,0,27708,0,0
"1",3855,0,0,23853,0,0
"2",0,0,0,27708,0,0
"3",0,0,0,27708,0,0
"4",0,417,875,26416,0,0
"5",0,0,0,27226,0,482
"6",4433,0,1546,21729,0,0
"7",0,0,0,27708,0,0
"8",0,6985,0,20723,0,0
"9",0,10269,0,17439,0,0
"10",0,8412,3244,12980,0,3072
"11",0,7132,0,16604,1017,2955
"12",0,0,0,27330,0,378
"13",0,7518,1790,18400,0,0
"14",0,0,0,27708,0,0
"15",0,0,0,27708,0,0
"16",0,568,0,27140,0,0
"1",0,0,0,27708,0,0
"2",366,0,2568,24774,0,0
"3",0,0,0,27200,0,508
"4",5132,2763,0,19813,0,0
"5",0,0,932,26776,0,0
"6",0,3154,0,24554,0,0
"7",0,0,0,27708,0,0
"8",0,0,0,16166,0,11542
"9",0,0,0,27708,0,0
"10",0,1163,0,18757,0,7788
"11",0,3429,0,24279,0,0
"12",0,564,0,25964,1180,0
"13",4350,0,1369,18223,3766,0
"14",0,5482,2163,20063,0,0
"15",5475,0,4667,17139,427,0
"16",3151,0,0,24557,0,0
"1",0,0,0,27708,0,0
"2",0,0,0,27708,0,0
"3",723,0,0,22509,0,4476
"4",0,0,2712,24996,0,0
"5",0,3706,0,20368,3634,0
"6",0,0,2781,24927,0,0
"7",5558,3236,0,14445,0,4469
"8",0,465,0,27243,0,0
"9",0,0,108,24551,3049,0
"10",6543,0,0,21165,0,0
"11",2015,3654,0,22039,0,0
"12",0,0,0,27708,0,0
"13",0,0,0,21451,0,6257
"14",0,0,0,25760,1948,0
"15",0,1962,0,25746,0,0
"16",0,0,0,27708,0,0
"1",0,0,0,27708,0,0
"2",0,4443,0,23265,0,0
"3",312,0,0,26865,0,531
"4",0,0,0,27708,0,0
"5",0,1218,0,26490,0,0
"6",849,0,65,26794,0,0
"7",0,2294,0,24960,0,454
"8",0,0,5975,21733,0,0
"9",160,0,0,27548,0,0
"10",1714,3333,0,22661,0,0
"11",0,0,0,27708,0,0
"12",0,5141,0,22567,0,0
"13",0,0,708,27000,0,0
"14",0,0,0,24143,0,3565
"15",0,0,0,27708,0,0
"16",0,0,0,16120,0,11588
"1",0,6337,0,21371,0,0
"2",0,0,12718,14990,0,0
"3",0,0,67,27641,0,0
"4",0,3944,0,23434,0,330
"5",0,1507,0,26201,0,0
"6",0,0,0,27708,0,0
"7",0,4412,0,23296,0,0
"8",0,0,2041,25667,0,0
"9",952,0,0,26756,0,0
"10",7180,0,0,20528,0,0
"11",0,0,835,26873,0,0
"12",0,2062,0,25646,0,0
"13",0,6525,0,21183,0,0
"14",0,0,0,27708,0,0
"15",0,0,0,27708,0,0
"16",0,2537,2138,23033,0,0
"1",0,3569,7350,16789,0,0
"2",0,7561,0,20147,0,0
"3",0,5026,0,22682,0,0
"4",6372,0,3044,18292,0,0
"5",0,2515,0,25193,0,0
"6",160,484,0,25093,0,1971
"7",0,0,0,27708,0,0
"8",0,0,4402,23306,0,0
"9",0,0,0,25600,0,2108
"10",397,13,3312,23986,0,0
"11",0,0,0,27708,0,0
"12",465,17130,0,10113,0,0
"13",1732,2206,0,23770,0,0
"14",0,4131,0,23577,0,0
"15",0,0,1466,24929,0,1313
"16",2084,3972,0,21652,0,0
"1",0,2843,0,15933,3491,5441
"2",10643,4651,0,12414,0,0
"3",0,137,0,26368,0,1203
"4",3014,0,0,24694,0,0
"5",0,557,304,26847,0,0
"6",0,2389,0,25319,0,0
"7",0,0,0,27708,0,0
"8",3900,0,0,23808,0,0
"9",0,2226,0,25482,0,0
"10",0,0,0,21414,6294,0
"11",1437,0,0,26271,0,0
"12",0,0,2633,25075,0,0
"13",5214,0,7118,15376,0,0
"14",5428,835,0,21445,0,0
"15",0,5611,0,20872,195,1030
"16",0,0,834,26874,0,0
"1",0,0,0,27708,0,0
"2",811,6168,0,20729,0,0
"3",0,0,0,27708,0,0
"4",0,0,0,25885,1823,0
"5",0,0,0,25165,2543,0
"6",0,0,0,27708,0,0
"7",0,0,4473,23235,0,0
"8",0,0,0,27708,0,0
"9",0,0,0,27708,0,0
"10",0,671,0,21589,0,5448
"11",0,0,0,27708,0,0
"12",0,6563,0,21145,0,0
"13",0,2561,0,25147,0,0
"14",0,4703,0,23005,0,0
"15",1536,31,7634,18507,0,0
"16",614,86,0,27008,0,0
"1",0,1904,0,25804,0,0
"2",0,0,0,27708,0,0
"3",0,3632,3141,20935,0,0
"4",0,0,583,27125,0,0
"5",0,0,0,26775,0,933
"6",0,0,0,20445,0,7263
"7",0,7920,0,19788,0,0
"8",0,0,0,26891,0,817
"9",0,2725,1923,13025,7329,2706
"10",0,0,0,27310,398,0
"11",0,0,0,27708,0,0
"12",0,0,0,27708,0,0
"13",2341,167,5682,19518,0,0
"14",0,3193,0,24515,0,0
"15",2507,2440,0,22761,0,0
"16",0,503,0,27205,0,0
"1",0,204,6397,19449,0,1658
"2",0,0,0,27342,366,0
"3",3888,6819,0,17001,0,0
"4",0,0,0,21301,6343,64
"5",582,0,3613,23513,0,0
"6",0,0,0,27708,0,0
"7",0,0,0,27708,0,0
"8",0,4161,0,23547,0,0
"9",0,0,4958,22750,0,0
"10",393,11033,0,16282,0,0
"11",17652,0,0,10056,0,0
"12",0,5203,0,22505,0,0
"13",0,3808,0,19587,0,4313
"14",0,0,0,27708,0,0
"15",0,842,0,26293,0,573
"16",0,0,0,27247,0,461
"1",898,445,0,23363,3002,0
"2",0,0,0,26613,0,1095
"3",0,0,0,27708,0,0
"4",0,0,0,27708,0,0
"5",0,7010,0,12715,0,7983
"6",3820,0,0,22308,1580,0
"7",0,0,0,27708,0,0
"8",0,0,0,27708,0,0
"9",0,1152,0,20481,0,6075
"10",10304,0,0,17404,0,0
"11",0,0,0,27439,0,269
"12",10034,0,1901,15773,0,0
"13",5868,0,0,19227,0,2613
"14",0,3069,0,24639,0,0
"15",6846,0,0,20862,0,0
"16",0,4458,0,23250,0,0
"1",0,524,0,27184,0,0
"2",0,7030,0,20678,0,0
"3",0,2117,0,25591,0,0
"4",4916,0,0,22792,0,0
"5",5578,5608,1350,15172,0,0
"6",0,0,0,27708,0,0
"7",0,0,0,27708,0,0
"8",0,0,2145,25563,0,0
"9",0,0,0,27338,370,0
"10",94,0,0,27614,0,0
"11",0,1615,9763,16330,0,0
"12",0,1494,0,20525,0,5689
"13",0,0,0,27708,0,0
"14",0,0,0,27708,0,0
"15",0,0,0,27038,0,670
"16",11416,0,0,16292,0,0
"1",0,0,0,27708,0,0
"2",0,567,0,27141,0,0
"3",3824,6953,4180,12751,0,0
"4",0,484,5196,22028,0,0
"5",0,0,0,24021,0,3687
"6",0,4882,0,22826,0,0
"7",8511,650,0,18547,0,0
"8",0,1144,17520,9044,0,0
"9",3117,4576,0,20015,0,0
"10",0,0,4711,22997,0,0
"11",0,0,353,27355,0,0
"12",0,12438,0,15270,0,0
"13",0,1025,0,23241,0,3442
"14",0,2458,286,21214,0,3750
"15",0,4623,1400,21685,0,0
"16",2196,0,0,25512,0,0
"1",0,5231,52,22425,0,0
"2",0,5933,0,20943,0,832
"3",0,1620,341,25747,0,0
"4",527,7757,0,19424,0,0
"5",0,672,4221,22815,0,0
"6",0,12757,0,14951,0,0
"7",1002,6627,0,20079,0,0
"8",1432,1926,0,24350,0,0
"9",0,0,0,27708,0,0
"10",120,6919,0,20669,0,0
"11",0,7271,29,10420,0,9988
"12",5960,3240,0,18508,0,0
"13",912,1347,0,20058,0,5391
"14",10686,624,0,16398,0,0
"15",0,0,0,27708,0,0
"16",0,14448,0,13260,0,0
"1",0,0,294,19778,0,7636
"2",0,0,0,27708,0,0
"3",0,0,4631,20003,3074,0
"4",6249,6790,0,14669,0,0
"5",0,2493,0,21814,0,3401
"6",0,0,0,27708,0,0
"7",22,0,1911,25775,0,0
"8",0,0,0,25192,2516,0
"9",0,957,3493,23258,0,0
"10",0,0,0,27708,0,0
"11",0,0,0,27708,0,0
"12",0,0,0,27708,0,0
"13",9246,0,993,17469,0,0
"14",0,0,0,23310,0,4398
"15",0,4066,0,23642,0,0
"16",0,0,139,21652,0,5917
"1",0,7003,0,20705,0,0
"2",0,0,10404,15962,1342,0
"3",0,699,0,27009,0,0
"4",0,0,0,27708,0,0
"5",0,0,0,27708,0,0
"6",0,5476,0,22232,0,0
"7",0,3062,0,24646,0,0
"8",4436,0,4252,18250,0,770
"9",0,0,0,27708,0,0
"10",0,0,0,27708,0,0
"11",0,0,0,27708,0,0
"12",0,0,6649,21059,0,0
"13",0,15,0,21695,0,5998
"14",0,0,0,27708,0,0
"15",0,0,0,23932,3776,0
"16",0,0,4052,23656,0,0
"1",0,0,5297,22411,0,0
"2",1246,0,0,26462,0,0
"3",0,2387,0,25321,0,0
"4",0,0,0,27708,0,0
"5",0,0,0,27301,407,0
"6",0,0,0,27299,0,409
"7",0,3423,1959,22326,0,0
"8",0,0,0,27708,0,0
"9",0,8874,0,14780,0,4054
"10",0,0,0,27708,0,0
"11",0,0,0,27708,0,0
"12",1591,0,4690,21427,0,0
"13",0,0,0,27708,0,0
"14",0,4316,424,22968,0,0
"15",0,2776,921,24011,0,0
"16",0,0,2460,25248,0,0
"1",0,5891,822,20166,0,829
"2",0,3902,0,23806,0,0
"3",0,5726,0,21982,0,0
"4",0,0,0,27708,0,0
"5",0,7618,0,20090,0,0
"6",4741,1516,0,18683,0,2768
"7",0,0,0,24647,0,3061
"8",0,0,2208,25500,0,0
"9",2859,0,1915,22934,0,0
"10",0,0,0,27708,0,0
"11",0,0,0,24428,0,3280
"12",0,0,0,27708,0,0
"13",0,0,0,27708,0,0
"14",0,2071,0,25637,0,0
"15",6493,456,0,20759,0,0
"16",0,125,651,26932,0,0
"1",0,13163,0,14545,0,0
"2",0,450,113,27145,0,0
"3",0,0,0,27708,0,0
"4",0,6362,0,21346,0,0
"5",0,0,0,27708,0,0
"6",0,0,0,27708,0,0
"7",0,3014,0,24694,0,0
"8",0,0,0,27708,0,0
"9",0,0,1276,26432,0,0
"10",0,608,0,27100,0,0
"11",0,824,0,26884,0,0
"12",0,934,7621,14565,4588,0
"13",0,0,0,17202,0,10506
"14",2329,0,0,25379,0,0
"15",0,0,0,27012,0,696
"16",0,0,2670,25038,0,0
"1",0,5860,0,18473,3375,0
"2",0,0,0,27708,0,0
"3",0,1616,0,26092,0,0
"4",64,3517,0,24127,0,0
"5",0,0,0,21494,0,6214
"6",0,0,0,27708,0,0
"7",0,0,0,27708,0,0
"8",0,0,0,27708,0,0
"9",0,2179,0,24015,0,1514
"10",0,8,266,27434,0,0
"11",13812,639,0,13257,0,0
"12",0,0,0,27708,0,0
"13",0,371,45,27292,0,0
"14",0,6804,0,20904,0,0
"15",0,315,0,27393,0,0
"16",0,0,8831,18877,0,0
"1",5679,0,0,22029,0,0
"2",1005,4250,0,22453,0,0
"3",0,0,0,27708,0,0
"4",0,3627,0,24081,0,0
"5",0,2935,0,24773,0,0
"6",0,0,0,27708,0,0
"7",0,0,9858,17850,0,0
"8",0,0,0,27708,0,0
"9",0,0,1785,12183,0,13740
"10",0,0,7419,20289,0,0
"11",0,0,0,17778,0,9930
"12",0,0,1394,26314,0,0
"13",0,0,0,27656,52,0
"14",0,1696,0,26012,0,0
"15",0,2978,0,24730,0,0
"16",0,0,0,27708,0,0
"1",0,0,0,27708,0,0
"2",1773,0,0,25935,0,0
"3",0,0,0,27708,0,0
"4",0,0,0,27708,0,0
"5",0,0,0,27708,0,0
"6",0,2573,0,25135,0,0
"7",0,82,4307,22582,0,737
"8",0,0,0,27708,0,0
"9",0,2376,0,22939,0,2393
"10",0,8945,1478,17285,0,0
"11",0,0,0,27708,0,0
"12",0,1039,0,23041,0,3628
"13",0,0,1614,26094,0,0
"14",0,1744,1049,24915,0,0
"15",0,2585,5838,19285,0,0
"16",0,4604,4078,19026,0,0
"1",0,0,0,27708,0,0
"2",0,0,8777,16654,0,2277
"3",0,0,0,22227,0,5481
"4",0,1715,0,25993,0,0
"5",0,0,0,27062,646,0
"6",0,0,0,27708,0,0
"7",0,0,906,26802,0,0
"8",0,0,0,27708,0,0
"9",3521,3305,0,18137,2745,0
"10",2463,0,6563,18682,0,0
"11",0,5440,6897,15371,0,0
"12",0,0,5425,21734,549,0
"13",0,0,0,27253,0,455
"14",0,1475,2676,17983,5574,0
"15",0,0,0,27708,0,0
"16",0,0,0,27708,0,0
"1",0,2837,0,24871,0,0
"2",3370,0,0,24338,0,0
"3",0,4739,942,22027,0,0
"4",852,0,0,26856,0,0
"5",0,923,0,26785,0,0
"6",3155,6304,4293,13956,0,0
"7",4439,4673,0,14044,0,4552
"8",0,0,0,27708,0,0
"9",0,0,0,27708,0,0
"10",0,3575,0,24133,0,0
"11",3554,10266,0,13888,0,0
"12",0,3638,0,24070,0,0
"13",0,16128,0,11580,0,0
"14",0,0,0,23710,0,3998
"15",0,12134,0,15574,0,0
"16",0,1644,0,24899,1165,0
"1",0,7282,0,19741,0,685
"2",0,0,0,27708,0,0
"3",1374,0,0,26334,0,0
"4",0,6450,59,21199,0,0
"5",0,0,2807,24873,28,0
"6",0,0,0,27708,0,0
"7",0,0,0,20511,5864,1333
"8",0,3294,4546,19868,0,0
"9",5428,0,0,20075,0,2205
"10",8279,0,0,19429,0,0
"11",0,0,0,23576,4132,0
"12",0,0,0,27708,0,0
"13",0,447,0,27261,0,0
"14",0,0,58,27650,0,0
"15",0,0,8080,19628,0,0
"16",0,0,541,27167,0,0
"1",0,0,0,27708,0,0
"2",0,5466,0,22242,0,0
"3",0,3448,0,24139,0,121
"4",0,0,0,21692,0,6016
"5",3467,0,2060,22181,0,0
"6",6766,0,0,20942,0,0
"7",0,0,8792,18916,0,0
"8",0,0,0,27708,0,0
"9",0,5660,0,18668,3380,0
"10",0,0,0,27708,0,0
"11",0,0,386,27322,0,0
"12",0,0,3419,19644,0,4645
"13",0,204,0,25999,1505,0
"14",0,0,0,27708,0,0
"15",0,6630,7220,13858,0,0
"16",0,820,0,26888,0,0
