"","164915","3944484","4394926","4399988","4416113","4418165","4454257","4456892","4458775","691423","814442","9994"
"1",0,4553,4682,5275,0,0,15914,2963,313,0,0,0
"2",1656,0,0,0,0,0,29724,0,0,2320,0,0
"3",0,1320,0,8222,0,3984,19588,0,0,586,0,0
"4",0,3768,0,0,0,0,23634,0,0,6298,0,0
"5",7,769,0,3485,0,0,26540,0,0,2899,0,0
"6",446,0,1877,0,0,0,29878,0,344,1155,0,0
"7",3415,2905,0,833,0,0,26547,0,0,0,0,0
"8",0,2373,0,1336,0,0,29991,0,0,0,0,0
"9",0,2047,0,0,0,1813,29840,0,0,0,0,0
"10",0,945,0,0,0,0,32037,0,0,0,0,718
"11",0,1475,0,1092,0,0,31133,0,0,0,0,0
"12",428,3728,0,2334,0,595,21945,0,0,4670,0,0
"13",2461,2405,0,1363,0,0,27471,0,0,0,0,0
"14",0,1978,0,0,0,0,28198,0,0,3524,0,0
"15",0,0,0,0,0,0,32278,0,0,1422,0,0
"16",0,0,0,1938,0,0,29961,0,17,1045,0,739
"1",0,0,0,0,0,0,33574,0,0,0,0,126
"2",0,4635,0,0,0,0,25232,0,0,3833,0,0
"3",0,667,0,2197,0,0,30013,0,0,823,0,0
"4",797,0,0,1945,0,0,25010,5030,0,918,0,0
"5",0,0,0,4421,0,0,25830,140,0,3309,0,0
"6",0,4128,0,1035,0,0,28537,0,0,0,0,0
"7",0,3405,0,0,0,0,25456,1962,2877,0,0,0
"8",2222,4850,0,0,0,1158,25470,0,0,0,0,0
"9",0,153,0,0,0,0,28960,2928,0,0,0,1659
"10",0,41,0,4758,1577,0,22910,106,0,4308,0,0
"11",0,0,0,3611,0,1306,28288,495,0,0,0,0
"12",1575,1240,0,0,0,0,30273,0,0,612,0,0
"13",0,5718,0,1100,0,0,26882,0,0,0,0,0
"14",0,3317,0,0,873,0,29510,0,0,0,0,0
"15",0,2126,0,1653,0,0,29748,0,0,173,0,0
"16",719,11386,0,2363,0,0,19129,0,89,14,0,0
"1",0,0,0,3739,1623,0,28338,0,0,0,0,0
"2",262,36,0,3721,0,0,28864,817,0,0,0,0
"3",62,1606,0,807,2293,0,28932,0,0,0,0,0
"4",0,0,0,0,0,0,32293,0,0,1407,0,0
