"","164915","3944484","4394926","4399988","4416113","4425571","4433274","4454257","4458775","814442"
"1",0,0,0,19777,2,0,4077,5641,2379,64
"2",0,0,0,14566,4061,0,115,9588,3610,0
"3",9373,0,0,9983,0,0,0,9886,2698,0
"4",1943,423,0,14076,0,0,6995,8503,0,0
"5",0,0,0,14493,8077,0,627,4758,3985,0
"6",0,0,0,12065,6002,0,1431,11874,568,0
"7",0,0,0,9159,5079,0,0,7577,7510,2615
"8",3639,0,0,9938,2497,0,1579,5174,9113,0
"9",100,0,0,13731,2157,0,5244,8789,1919,0
"10",0,0,0,10967,0,0,1726,6877,12370,0
"11",0,0,0,12428,716,0,3821,13269,1706,0
"12",0,0,434,4450,5751,0,4657,11997,4651,0
"13",0,0,0,18039,355,0,1483,6070,5993,0
"14",0,0,0,6614,0,0,3212,13032,9082,0
"15",235,0,0,4195,4700,0,10481,11407,922,0
"16",0,3,0,5476,16410,0,1598,3561,4892,0
"1",0,1291,0,15942,1221,0,77,11950,1459,0
"2",0,0,584,14058,4632,0,6176,6268,222,0
"3",0,758,0,11780,1229,0,3763,9258,5152,0
"4",560,0,0,14502,1691,0,826,13337,1024,0
"5",0,0,0,24616,0,0,775,3646,2903,0
"6",0,0,0,6308,9224,0,262,14713,0,1433
"7",0,0,0,9258,469,0,890,10337,10986,0
"8",0,0,0,8971,0,0,7722,10971,4276,0
"9",348,0,0,6995,3100,0,8190,5542,7765,0
"10",88,797,0,11263,5161,0,6693,5388,2550,0
"11",0,0,0,18090,4668,0,0,7823,1359,0
"12",0,0,0,13886,1663,0,4708,10916,767,0
"13",0,0,0,13107,2085,0,2116,6807,7825,0
"14",0,0,0,6130,6376,0,6565,7611,4185,1073
"15",0,0,0,11681,5285,602,2782,5410,6180,0
"16",0,0,0,16071,215,0,8962,297,1831,4564
"1",0,0,0,11624,3232,0,3864,13220,0,0
"2",0,0,0,19308,694,0,2039,2302,7597,0
"3",0,0,0,12495,8594,0,533,9907,411,0
"4",0,0,125,5535,67,0,5337,20341,535,0
