"","164915","3944484","4368600","4399988","4416113","4418165","4425571","4433274","4454257","4456892","691423","814442"
"1",0,669,0,0,0,0,0,0,31077,0,2269,0
"2",0,0,0,0,599,0,0,0,31598,1818,0,0
"3",0,0,0,0,0,0,0,1016,32541,458,0,0
"4",0,0,0,406,0,0,0,4229,29380,0,0,0
"5",0,0,0,430,0,0,482,0,32858,245,0,0
"6",0,0,0,2356,0,0,0,774,29699,1186,0,0
"7",0,0,0,7343,0,0,0,0,26672,0,0,0
"8",0,0,562,782,0,0,0,0,25419,0,7252,0
"9",0,991,0,0,0,0,0,0,33024,0,0,0
"10",0,0,0,219,0,0,0,0,31849,1947,0,0
"11",0,0,0,366,0,0,0,0,25213,0,8436,0
"12",0,0,2776,6813,0,0,0,0,24426,0,0,0
"13",0,0,0,0,0,0,0,6821,23845,0,3349,0
"14",0,0,0,13840,0,0,0,0,20175,0,0,0
"15",0,225,8,8954,0,0,8295,0,14200,1345,988,0
"16",0,0,0,2373,0,0,0,0,28203,2489,950,0
"1",0,1458,0,0,0,0,0,0,30252,0,2305,0
"2",0,0,79,2489,0,0,0,6825,24622,0,0,0
"3",0,3600,0,3901,0,0,0,721,25397,396,0,0
"4",0,0,0,429,0,0,0,3848,29103,635,0,0
"5",0,0,0,0,0,0,0,0,27978,0,6037,0
"6",0,0,0,0,0,0,0,3828,28670,1517,0,0
"7",0,0,0,3248,2379,0,0,0,28322,66,0,0
"8",0,2087,929,0,0,0,0,0,30760,239,0,0
"9",0,0,0,2492,1838,0,0,0,29122,69,0,494
"10",0,0,0,395,0,0,0,0,27034,6586,0,0
"11",0,0,517,1601,0,0,0,0,29789,0,2108,0
"12",0,0,0,10194,0,0,0,0,23665,156,0,0
"13",0,0,0,0,0,0,0,0,32084,1565,366,0
"14",0,0,0,1364,0,0,0,0,32651,0,0,0
"15",0,0,0,5641,1773,0,0,0,26476,125,0,0
"16",0,0,122,3095,0,0,0,1117,26626,2213,842,0
"1",0,0,0,2207,91,0,0,0,31458,259,0,0
"2",0,0,3253,6929,0,0,0,0,23833,0,0,0
"3",0,0,0,3223,0,0,0,167,30625,0,0,0
"4",0,0,0,4921,0,754,0,0,28340,0,0,0
"5",0,0,0,1093,0,0,0,0,29033,3663,226,0
"6",0,0,0,8562,0,0,0,0,25234,0,219,0
"7",0,0,0,3800,0,801,0,0,25192,2950,1272,0
