"","4456889","4461938"
"15",8224,610
"16",3153,5681
"1",599,8235
"2",6498,2336
"3",2327,6507
"4",7170,1664
"5",6381,2453
"6",8033,801
"7",0,8834
"8",6490,2344
"9",4259,4575
"10",967,7867
"11",376,8458
"12",3847,4987
"13",1707,7127
"14",941,7893
"15",6757,2077
"16",5929,2905
"1",6512,2322
"2",8834,0
"3",3206,5628
"4",8237,597
"5",6689,2145
"6",3259,5575
"7",6653,2181
"8",2840,5994
"9",2622,6212
"10",958,7876
"11",3865,4969
"12",0,8834
"13",3358,5476
"14",1843,6991
"15",4392,4442
"16",244,8590
"1",2593,6241
"2",5491,3343
"3",5688,3146
"4",8484,350
"5",1329,7505
"6",371,8463
"7",7068,1766
"8",4694,4140
"9",7279,1555
"10",2241,6593
"11",1539,7295
"12",1578,7256
"13",283,8551
"14",3497,5337
"15",2030,6804
"16",6842,1992
"1",4589,4245
"2",2227,6607
"3",8596,238
"4",6778,2056
"5",3464,5370
"6",7574,1260
"7",1643,7191
"8",0,8834
"9",2992,5842
"10",327,8507
"11",5838,2996
"12",1126,7708
"13",4692,4142
"14",8142,692
"15",2571,6263
"16",514,8320
"1",5540,3294
"2",7751,1083
"3",383,8451
"4",6822,2012
"5",4473,4361
"6",4789,4045
"7",1888,6946
"8",8834,0
"9",894,7940
"10",0,8834
"11",3316,5518
"12",1406,7428
"13",7674,1160
"14",5936,2898
"15",8108,726
"16",2382,6452
"1",4468,4366
"2",2505,6329
"3",4089,4745
"4",2112,6722
"5",7095,1739
"6",3060,5774
"7",5977,2857
"8",2090,6744
"9",7706,1128
"10",897,7937
"11",3266,5568
"12",8329,505
"13",0,8834
"14",887,7947
"15",4368,4466
"16",3586,5248
"1",0,8834
"2",3686,5148
"3",6028,2806
"4",8834,0
"5",0,8834
"6",4772,4062
"7",4263,4571
"8",5246,3588
"9",6564,2270
"10",8418,416
"11",5460,3374
"12",3413,5421
"13",8033,801
"14",5692,3142
"15",5947,2887
"16",2177,6657
"1",4882,3952
"2",269,8565
"3",1932,6902
"4",352,8482
"5",8182,652
"6",1758,7076
"7",685,8149
"8",0,8834
"9",6747,2087
"10",1894,6940
"11",1086,7748
"12",5405,3429
"13",1392,7442
"14",8834,0
"15",1593,7241
"16",0,8834
"1",3072,5762
"2",5159,3675
"3",1400,7434
"4",3496,5338
"5",5149,3685
"6",4754,4080
"7",3052,5782
"8",7654,1180
"9",4597,4237
"10",6702,2132
"11",2156,6678
"12",5129,3705
"13",7358,1476
"14",3885,4949
"15",1050,7784
"16",2408,6426
"1",4484,4350
"2",8550,284
"3",5603,3231
"4",1487,7347
"5",5689,3145
"6",8398,436
"7",2914,5920
"8",1022,7812
"9",3183,5651
"10",3522,5312
"11",6782,2052
"12",264,8570
"13",4726,4108
"14",2727,6107
"15",4897,3937
"16",0,8834
"1",3047,5787
"2",4848,3986
"3",6673,2161
"4",4043,4791
"5",2467,6367
"6",3131,5703
"7",5070,3764
"8",3702,5132
"9",3244,5590
"10",7167,1667
"11",1666,7168
"12",6029,2805
"13",5486,3348
"14",4470,4364
"15",7407,1427
"16",0,8834
"1",8778,56
"2",1364,7470
"3",3094,5740
"4",6207,2627
"5",4562,4272
"6",8223,611
"7",6083,2751
"8",6518,2316
"9",7342,1492
"10",1454,7380
"11",2341,6493
"12",0,8834
"13",7811,1023
"14",227,8607
"15",5528,3306
"16",4968,3866
"1",3376,5458
"2",2357,6477
"3",2124,6710
"4",1314,7520
"5",4742,4092
"6",7849,985
"7",0,8834
"8",3710,5124
"9",8834,0
"10",2012,6822
"11",2153,6681
"12",5475,3359
"13",2868,5966
"14",6617,2217
"15",0,8834
"16",3153,5681
"1",3047,5787
"2",5944,2890
"3",4993,3841
"4",972,7862
"5",0,8834
"6",900,7934
"7",7883,951
"8",3809,5025
"9",3105,5729
"10",3416,5418
"11",6389,2445
"12",0,8834
"13",2027,6807
"14",6255,2579
"15",8834,0
"16",8801,33
"1",8834,0
"2",5889,2945
"3",92,8742
"4",8791,43
"5",8834,0
"6",8726,108
"7",7858,976
"8",1276,7558
"9",8775,59
"10",6204,2630
"11",0,8834
"12",5246,3588
"13",1001,7833
"14",0,8834
"15",5988,2846
"16",2555,6279
"1",593,8241
"2",2089,6745
"3",50,8784
"4",2829,6005
"5",6743,2091
"6",159,8675
"7",5288,3546
"8",3230,5604
"9",0,8834
"10",7303,1531
"11",4737,4097
"12",2946,5888
"13",6089,2745
"14",1483,7351
"15",8834,0
"16",5407,3427
"1",5845,2989
"2",0,8834
"3",5991,2843
"4",2139,6695
"5",8062,772
"6",3092,5742
"7",8834,0
"8",2872,5962
"9",713,8121
"10",6578,2256
"11",6965,1869
"12",6674,2160
"13",5095,3739
"14",8834,0
"15",1276,7558
"16",4539,4295
"1",3204,5630
"2",8269,565
"3",1199,7635
"4",4198,4636
"5",0,8834
"6",2405,6429
"7",6456,2378
"8",8834,0
"9",2948,5886
"10",6325,2509
"11",0,8834
"12",0,8834
"13",1988,6846
"14",0,8834
"15",8232,602
"16",3827,5007
"1",1036,7798
"2",7611,1223
"3",1405,7429
"4",3562,5272
