"","164915","3944484","4394926","4399988","4418165","4425571","4454257","4456892","691423"
"1",0,0,0,0,0,0,20782,1328,9067
"2",0,0,0,0,0,0,23991,932,6254
"3",0,0,2323,0,0,0,28596,258,0
"4",0,0,0,0,0,0,27499,3678,0
"5",0,1110,0,1570,0,1738,26759,0,0
"6",0,0,0,0,0,0,19112,5709,6356
"7",3723,0,0,313,7546,0,13521,0,6074
"8",0,0,0,0,0,0,25022,2500,3655
"9",0,98,0,0,0,0,28190,2889,0
"10",0,0,0,2168,0,0,29009,0,0
"11",0,0,0,0,0,0,27642,0,3535
"12",0,0,0,0,0,0,16773,10466,3938
"13",0,0,0,7724,0,0,21314,2139,0
"14",0,0,0,0,107,0,31070,0,0
"15",0,0,0,0,0,0,30507,0,670
"16",1600,0,0,0,9516,0,15481,0,4580
"1",0,0,2694,5378,0,0,20710,2395,0
"2",0,0,0,8760,288,0,22129,0,0
"3",64,0,0,0,0,0,29907,0,1206
"4",0,0,1950,0,0,0,25072,3818,337
"5",0,0,639,3377,0,0,25712,0,1449
"6",0,0,0,0,0,0,28526,0,2651
"7",0,0,0,4453,5,0,26153,566,0
"8",0,0,1217,0,0,0,29960,0,0
"9",0,0,1390,0,0,0,23233,0,6554
"10",114,0,0,1711,0,0,22861,4755,1736
"11",0,0,0,0,0,0,29274,0,1903
"12",0,0,0,0,258,0,30919,0,0
"13",0,0,0,1196,0,0,22232,3525,4224
"14",1133,0,0,4210,0,0,25834,0,0
"15",0,0,0,8392,0,0,22785,0,0
"16",2728,0,0,2207,0,0,15388,4405,6449
"1",0,0,0,0,0,0,22422,1234,7521
"2",0,0,0,1339,0,0,24656,0,5182
"3",0,0,0,1168,0,0,22992,507,6510
"4",0,0,0,0,0,0,28138,0,3039
"5",0,0,0,43,680,0,21549,214,8691
"6",0,0,0,532,981,2972,21728,4964,0
"7",0,0,0,0,0,0,22803,0,8374
"8",0,0,0,0,0,0,29155,0,2022
"9",0,0,0,7007,0,0,24170,0,0
"10",1389,0,0,0,6369,0,23261,0,158
"11",288,0,0,0,0,0,24699,1666,4524
"12",0,4724,0,0,2416,0,19691,4346,0
"13",0,0,0,0,0,0,28348,0,2829
"14",0,0,0,0,0,0,23385,4908,2884
"15",0,0,0,331,10907,0,18612,915,412
"16",0,0,0,0,0,0,31177,0,0
"1",0,0,0,0,0,0,27439,0,3738
"2",2006,0,0,0,0,0,22253,1040,5878
"3",0,0,0,0,0,0,27678,3499,0
"4",0,0,0,1930,0,0,24306,0,4941
"5",0,0,0,0,0,0,29336,0,1841
