"","164915","4394926","4399988","4416113","4433274","4454257","4458775","691423"
"1",0,0,9925,0,0,6085,168,18861
"2",123,2692,8384,0,0,10296,640,12904
"3",0,0,8109,0,0,7627,0,19303
"4",0,1052,10146,0,0,4384,3588,15869
"5",0,190,9455,0,0,4995,1865,18534
"6",0,1916,17818,0,0,628,0,14677
"7",0,0,17538,0,0,6319,0,11182
"8",0,0,14686,0,0,10712,215,9426
"9",0,0,15762,0,0,6990,0,12287
"10",0,0,12565,0,0,9407,0,13067
"11",2140,0,11033,0,0,5995,0,15871
"12",0,0,7193,0,0,4635,4088,19123
"13",555,0,8284,0,0,8595,0,17605
"14",0,0,17436,0,0,8645,703,8255
"15",0,0,13764,0,0,3195,0,18080
"16",0,2052,14688,0,0,1902,914,15483
"1",0,0,6476,0,0,15891,0,12672
"2",0,0,16384,0,0,8719,0,9936
"3",0,177,16592,0,0,9652,0,8618
"4",0,3087,12003,0,0,6211,0,13738
"5",0,92,9315,0,0,3510,3333,18789
"6",0,0,7640,0,0,15500,1616,10283
"7",2688,7,14560,0,0,8286,102,9396
"8",77,368,14124,0,0,6359,268,13843
"9",0,153,10688,0,0,10608,0,13590
"10",0,1448,15269,0,0,3003,0,15319
"11",0,0,15969,0,0,6968,318,11784
"12",0,1676,25013,0,0,2063,0,6287
"13",0,0,12919,0,0,7011,0,15109
"14",0,1872,7932,0,0,14719,0,10516
"15",0,0,11886,0,0,2590,466,20097
"16",0,0,15165,0,0,4626,2423,12825
"1",0,4773,7486,0,0,1329,0,21451
"2",0,366,22411,0,0,1576,0,10686
"3",750,0,10708,0,0,12515,0,11066
"4",0,0,17239,0,0,9659,0,8141
"5",0,0,12123,0,0,3416,0,19500
"6",0,0,8210,0,0,17449,0,9380
"7",4016,0,16412,0,0,6486,0,8125
"8",0,0,13653,0,0,14471,0,6915
"9",0,0,5315,0,0,7298,2239,20187
"10",0,1599,2056,0,0,9974,0,21410
"11",140,617,19449,0,0,5148,0,9685
"12",0,0,20884,0,0,4614,0,9541
"13",0,531,16090,0,0,7050,0,11368
"14",0,208,14430,0,0,17233,0,3168
"15",0,1386,8628,0,0,4216,247,20562
"16",0,0,19396,0,0,0,0,15643
"1",0,0,19336,0,0,8736,0,6967
"2",0,228,16143,0,0,5342,1332,11994
"3",0,0,17529,0,0,6864,0,10646
"4",0,0,10125,0,0,13942,0,10972
"5",1261,2395,12734,0,0,8229,0,10420
"6",0,3079,8614,0,0,7233,0,16113
"7",0,0,8855,0,0,13796,0,12388
"8",0,785,10694,0,0,10159,0,13401
"9",1331,0,8271,0,3231,5727,3733,12746
"10",0,0,17636,0,0,2743,94,14566
"11",808,0,17060,0,0,5984,1108,10079
"12",0,0,25665,0,0,5163,0,4211
"13",0,984,23915,0,0,297,1374,8469
"14",0,111,15747,0,0,11553,0,7628
"15",0,1741,17495,0,0,2954,3488,9361
"16",0,0,14901,0,0,7584,0,12554
"1",0,0,16489,0,0,11426,0,7124
"2",3112,0,13768,0,35,988,0,17136
"3",0,0,16022,0,0,4992,0,14025
"4",0,2779,14254,0,0,8355,0,9651
"5",3947,0,5907,0,0,4452,0,20733
"6",0,0,14092,0,0,2051,0,18896
"7",0,0,11609,0,0,13058,1230,9142
"8",0,303,18928,0,0,3496,0,12312
"9",0,2403,12214,0,0,7051,5892,7479
"10",0,0,21994,0,0,8467,0,4578
"11",0,0,20705,0,0,9221,0,5113
"12",0,2228,11952,0,0,12280,3405,5174
"13",0,1445,17105,0,0,11560,0,4929
"14",0,5744,16414,0,0,670,0,12211
"15",0,481,8168,0,0,13200,750,12440
"16",0,596,10308,0,0,4008,4190,15937
"1",852,0,18056,0,0,4859,0,11272
"2",0,0,8977,0,0,15544,0,10518
"3",1492,377,10905,0,0,4336,100,17829
"4",0,567,14975,0,0,5010,0,14487
"5",0,2173,16106,0,0,8964,0,7796
"6",0,0,15661,0,0,4788,1100,13490
"7",0,757,10786,0,0,10325,5010,8161
"8",743,0,16799,0,0,3487,0,14010
"9",2266,1851,10802,0,0,8868,0,11252
"10",0,0,14622,0,0,6337,2693,11387
"11",0,0,5125,0,0,16738,0,13176
"12",0,682,14148,0,0,5171,0,15038
"13",0,3547,17158,0,0,1801,1702,10831
"14",0,1809,9781,0,0,5886,0,17563
"15",0,395,14722,0,0,3747,791,15384
"16",0,1024,6815,0,0,11923,0,15277
"1",0,0,12070,0,0,7483,0,15486
"2",0,0,12261,0,0,18336,0,4442
"3",0,0,14477,0,0,726,2241,17595
"4",0,0,16546,0,0,12275,0,6218
"5",0,0,18309,0,0,3781,0,12949
"6",0,43,10579,0,0,12287,406,11724
