"","164915","4394926","4399988","4416113","4417158","4418165","4425571","4454257","4458775","691423","814442"
"1",3197,0,9755,0,0,0,3995,12890,4862,672,0
"2",3573,0,1944,0,3801,0,0,15903,4856,5294,0
"3",9989,0,1105,0,0,0,544,18306,2227,3200,0
"4",2965,133,2900,0,0,0,0,21557,1133,6683,0
"5",7536,0,3862,0,0,0,2684,21289,0,0,0
"6",7248,0,3621,0,0,0,0,22903,0,1599,0
"7",2749,0,2741,0,0,0,818,28645,0,418,0
"8",2817,0,3273,0,0,0,0,25361,3920,0,0
"9",6552,0,5792,0,0,0,0,14391,8046,590,0
"10",14201,0,1811,0,0,0,0,13595,4876,888,0
"11",6580,0,7558,0,0,0,2810,16337,0,2086,0
"12",10077,0,3981,0,0,0,1774,13468,5738,333,0
"13",7140,0,5548,0,0,0,1744,11263,94,9582,0
"14",3755,0,965,0,0,0,634,23938,3215,2864,0
"15",16664,0,1632,0,0,0,2975,11247,783,2070,0
"16",9194,0,6005,0,0,272,1071,5991,4351,8487,0
"1",9424,0,5421,0,0,0,2383,14253,3890,0,0
"2",1517,0,3348,0,0,0,1625,23468,0,5413,0
"3",12037,0,4417,0,0,0,0,8364,7302,3251,0
"4",5358,0,5062,0,5029,0,2920,12171,171,4660,0
"5",10412,836,11,0,0,0,0,19148,2823,2141,0
"6",1726,0,2759,0,0,0,3642,17251,3494,6499,0
"7",1903,0,7403,0,0,0,0,22623,2197,1245,0
"8",4367,0,11421,0,0,0,1751,14290,13,3529,0
"9",13067,0,6760,0,0,0,0,11834,0,1479,2231
"10",7126,0,10355,0,0,0,474,13255,0,4161,0
"11",3635,0,6137,0,0,3616,1619,13021,3348,3995,0
"12",5668,19,2920,0,709,0,0,19753,3877,2425,0
"13",4075,0,6342,0,0,0,1032,16224,0,7698,0
"14",5027,0,0,0,0,0,4766,20399,1844,3335,0
"15",3097,0,1582,0,0,0,8458,11286,4340,6608,0
"16",8692,0,8192,4127,0,0,0,14073,0,287,0
"1",7846,0,3504,0,1165,0,2343,18147,2366,0,0
"2",4015,0,6039,0,0,0,0,6088,8119,11110,0
"3",3746,0,0,0,0,0,0,14751,7152,9722,0
"4",11349,2763,1213,0,56,0,0,11409,0,1847,6734
"5",4469,0,3459,0,0,0,0,27145,0,298,0
"6",8858,0,8090,341,0,0,52,15974,1322,734,0
"7",2712,560,0,0,0,593,0,23568,5307,2631,0
"8",9851,0,1640,0,1604,0,0,21824,0,452,0
"9",1703,0,7699,0,0,0,0,19988,5913,68,0
"10",4437,0,7654,4919,0,0,0,13246,3920,1195,0
"11",9351,0,2298,0,0,0,5521,14750,1230,2221,0
"12",1388,0,1560,0,0,0,0,22624,1863,7362,574
"13",5387,0,6021,0,0,0,0,21266,1259,1438,0
"14",11050,0,442,0,0,0,0,22498,0,1381,0
"15",6842,2673,10135,0,0,0,0,14401,1247,73,0
"16",5833,0,7910,0,0,0,0,13093,3351,5184,0
"1",4819,277,7488,0,0,0,0,19553,502,2732,0
"2",8528,0,1632,0,0,0,2568,17433,4846,364,0
"3",2045,0,103,0,2804,0,0,20167,7235,3017,0
"4",6537,0,4153,0,0,0,0,14246,10435,0,0
"5",2332,0,2607,0,0,0,0,25862,0,4570,0
"6",5348,0,3828,1177,0,0,313,20827,0,3878,0
"7",2670,0,5462,0,0,0,95,19331,1488,6325,0
"8",584,0,381,0,0,0,0,17551,2463,14392,0
"9",6855,0,28,0,0,0,670,22612,1373,3833,0
"10",4149,0,3686,0,0,0,0,18497,4062,4977,0
"11",3439,0,1559,306,0,0,2262,23107,4615,83,0
"12",7178,0,284,0,0,0,2432,14697,649,10131,0
"13",19133,1916,2250,0,0,0,0,10775,0,1297,0
"14",3688,0,1777,0,4712,0,0,22602,1294,1298,0
"15",6886,0,11062,0,0,0,2824,13850,561,188,0
"16",8778,0,9047,0,0,0,0,14581,347,2618,0
"1",3263,0,7767,0,0,0,0,22830,0,1511,0
"2",5421,0,3000,0,1829,0,0,21419,2220,1482,0
"3",8505,0,450,0,2873,0,1300,17409,879,3955,0
"4",6713,0,1754,1847,0,0,6977,15931,52,2097,0
"5",8659,0,1646,0,0,0,320,20890,422,3434,0
"6",15624,0,4810,0,0,0,298,13522,0,1117,0
"7",83,0,3645,0,0,0,0,26166,3107,2370,0
"8",5856,0,1500,0,0,0,0,18791,6334,2890,0
"9",10829,0,2174,0,0,59,641,14974,1081,5613,0
