"","4327501","4343834","4349788","4432796","4456889","836394"
"1",0,0,2234,3857,4298,0
"2",0,0,0,0,10389,0
"3",2911,0,0,0,7478,0
"4",0,0,0,10389,0,0
"5",0,0,5137,1055,0,4197
"6",1043,0,0,5328,4018,0
"7",70,0,0,3022,7297,0
"8",2418,817,0,0,7154,0
"9",0,0,592,9797,0,0
"10",2184,0,0,4865,3340,0
"11",0,0,0,6379,4010,0
"12",8473,0,0,0,0,1916
"13",2713,6838,0,0,838,0
"14",6573,0,0,0,3816,0
"15",75,0,0,0,5807,4507
"16",0,0,0,8640,1505,244
"1",4588,0,0,5801,0,0
"2",7612,0,0,1808,969,0
"3",4170,0,5593,0,626,0
"4",0,0,0,0,10389,0
"5",0,0,5153,5236,0,0
"6",1351,0,0,2465,1987,4586
"7",6145,0,0,522,3722,0
"8",858,0,8495,0,1036,0
"9",0,0,3333,112,6944,0
"10",0,0,0,0,7488,2901
"11",0,0,7606,2783,0,0
"12",0,0,1449,1213,0,7727
"13",0,6429,0,0,3960,0
"14",0,0,0,6889,3500,0
"15",2671,0,7718,0,0,0
"16",0,0,0,10389,0,0
"1",4971,0,0,3266,2152,0
"2",1735,0,8654,0,0,0
"3",0,0,0,766,9623,0
"4",0,0,0,283,10106,0
"5",540,0,0,3452,6397,0
"6",0,0,2384,1855,0,6150
"7",3017,0,1234,6138,0,0
"8",10275,0,0,114,0,0
"9",0,1029,0,9360,0,0
"10",6011,0,2629,1749,0,0
"11",3778,0,0,2151,4460,0
"12",10071,0,0,0,0,318
"13",0,0,0,6777,3612,0
"14",6303,0,0,3438,648,0
"15",0,0,0,0,553,9836
"16",4362,0,0,0,0,6027
"1",0,0,9953,0,436,0
"2",0,0,8197,2192,0,0
"3",4842,0,2159,3388,0,0
"4",0,0,5322,0,5067,0
"5",2637,0,0,0,7752,0
"6",3989,1869,0,0,4531,0
"7",0,0,5422,0,4967,0
"8",3420,0,0,4145,2824,0
"9",5346,0,2399,2644,0,0
"10",9178,0,0,1211,0,0
"11",0,0,0,1479,2376,6534
"12",3645,0,0,2660,4084,0
"13",0,0,462,8360,1567,0
"14",1592,3001,0,0,3741,2055
"15",2745,0,3136,4508,0,0
"16",0,0,0,9283,1106,0
"1",6056,0,0,4333,0,0
"2",0,0,0,10389,0,0
"3",0,0,0,8382,2007,0
