"","1"
"observed.399",17
"observed.400",15
"observed.401",14
"observed.402",16
"observed.403",15
"observed.404",15
"observed.405",11
"observed.406",14
"observed.407",13
"observed.408",12
"observed.409",17
"observed.410",11
"observed.411",15
"observed.412",11
"observed.413",12
"observed.414",13
"observed.415",18
"observed.416",13
"observed.417",11
"observed.418",11
"observed.419",13
"observed.420",13
"observed.421",12
"observed.422",14
"observed.423",18
"observed.424",14
"observed.425",11
"observed.426",11
"observed.427",18
"observed.428",13
"observed.429",11
"observed.430",16
"observed.431",9
"observed.432",9
"observed.433",16
"observed.434",13
"observed.435",16
"observed.436",16
"observed.437",17
"observed.438",13
"observed.439",10
"observed.440",14
"observed.441",12
"observed.442",10
"observed.443",13
"observed.444",16
"observed.445",15
"observed.446",12
"observed.447",13
"observed.448",14
"observed.449",16
"observed.450",17
"observed.451",12
"observed.452",11
"observed.453",17
"observed.454",13
"observed.455",12
"observed.456",16
"observed.457",12
"observed.458",14
"observed.459",14
"observed.460",10
"observed.461",14
"observed.462",15
"observed.463",20
"observed.464",18
"observed.465",13
"observed.466",17
"observed.467",18
"observed.468",16
"observed.469",13
"observed.470",15
"observed.471",18
"observed.472",13
"observed.473",14
"observed.474",14
"observed.475",11
"observed.476",14
"observed.477",14
"observed.478",13
"observed.479",9
"observed.480",14
"observed.481",14
"observed.482",14
"observed.483",11
"observed.484",15
"observed.485",13
"observed.486",15
"observed.487",11
"observed.488",12
"observed.489",17
"observed.490",12
"observed.491",11
"observed.492",11
"observed.493",16
"observed.494",13
"observed.495",17
"observed.496",13
"observed.497",9
"observed.498",13
"observed.499",14
"observed.500",9
"observed.501",13
"observed.502",13
"observed.503",14
"observed.504",16
"observed.505",14
"observed.506",14
"observed.507",14
"observed.508",11
"observed.509",15
"observed.510",15
"observed.511",12
"observed.512",13
"observed.513",12
"observed.514",12
"observed.515",11
"observed.516",11
"observed.517",15
"observed.518",14
"observed.519",10
"observed.520",16
"observed.521",17
"observed.522",19
"observed.523",10
"observed.524",13
"observed.525",18
"observed.526",16
"observed.527",14
"observed.528",13
"observed.529",16
"observed.530",11
"observed.531",17
"observed.532",14
"observed.533",15
"observed.534",14
"observed.535",13
"observed.536",13
"observed.537",12
"observed.538",13
"observed.539",12
"observed.540",9
"observed.541",16
"observed.542",12
"observed.543",13
"observed.544",15
"observed.545",14
"observed.546",10
"observed.547",16
"observed.548",14
"observed.549",17
"observed.550",16
"observed.551",12
"observed.552",16
"observed.553",15
"observed.554",10
"observed.555",10
"observed.556",13
"observed.557",13
"observed.558",13
"observed.559",14
"observed.560",11
"observed.561",13
"observed.562",7
"observed.563",14
"observed.564",13
"observed.565",13
"observed.566",15
"observed.567",14
"observed.568",14
"observed.569",15
"observed.570",16
"observed.571",10
"observed.572",16
"observed.573",13
"observed.574",14
"observed.575",17
"observed.576",14
"observed.577",12
"observed.578",11
"observed.579",17
"observed.580",14
"observed.581",15
"observed.582",13
"observed.583",15
"observed.584",15
"observed.585",15
"observed.586",15
"observed.587",12
"observed.588",11
"observed.589",14
"observed.590",16
"observed.591",12
"observed.592",14
"observed.593",16
"observed.594",14
"observed.595",20
"observed.596",13
"observed.597",14
"observed.598",15
"observed.599",11
"observed.600",12
"observed.601",16
"observed.602",10
"observed.603",14
"observed.604",15
"observed.605",18
"observed.606",12
"observed.607",14
"observed.608",14
"observed.609",19
"observed.610",16
"observed.611",10
"observed.612",14
"observed.613",16
"observed.614",14
"observed.615",13
"observed.616",12
"observed.617",13
"observed.618",13
"observed.619",12
"observed.620",16
"observed.621",12
"observed.622",12
"observed.623",17
"observed.624",13
"observed.625",11
"observed.626",9
"observed.627",12
"observed.628",18
"observed.629",13
"observed.630",13
"observed.631",17
"observed.632",12
"observed.633",10
"observed.634",16
"observed.635",15
"observed.636",15
"observed.637",14
"observed.638",16
"observed.639",16
"observed.640",20
"observed.641",13
"observed.642",17
"observed.643",14
"observed.644",12
"observed.645",15
"observed.646",13
"observed.647",13
"observed.648",13
"observed.649",13
"observed.650",10
"observed.651",18
"observed.652",13
"observed.653",16
"observed.654",11
"observed.655",11
"observed.656",10
"observed.657",16
"observed.658",14
"observed.659",20
"observed.660",18
"observed.661",14
"observed.662",17
"observed.663",11
"observed.664",15
"observed.665",11
"observed.666",19
"observed.667",15
"observed.668",17
"observed.669",13
"observed.670",16
"observed.671",16
"observed.672",13
"observed.673",15
"observed.674",16
"observed.675",15
"observed.676",17
"observed.677",15
"observed.678",12
"observed.679",15
"observed.680",12
"observed.681",13
"observed.682",14
"observed.683",17
"observed.684",14
"observed.685",18
"observed.686",10
"observed.687",17
"observed.688",14
"observed.689",12
"observed.690",13
"observed.691",16
"observed.692",15
"observed.693",18
"observed.694",13
"observed.695",17
"observed.696",15
"observed.697",20
"observed.698",17
"observed.699",12
"observed.700",15
"observed.701",15
"observed.702",11
"observed.703",17
"observed.704",12
"observed.705",19
"observed.706",12
"observed.707",13
"observed.708",17
"observed.709",15
"observed.710",15
"observed.711",14
"observed.712",12
"observed.713",16
"observed.714",11
"observed.715",16
"observed.716",14
"observed.717",18
"observed.718",16
"observed.719",12
"observed.720",11
"observed.721",14
"observed.722",17
"observed.723",17
"observed.724",17
"observed.725",12
"observed.726",13
"observed.727",14
"observed.728",16
"observed.729",13
"observed.730",13
"observed.731",12
"observed.732",14
"observed.733",15
"observed.734",10
"observed.735",13
"observed.736",21
"observed.737",16
"observed.738",17
"observed.739",17
"observed.740",14
"observed.741",15
"observed.742",10
"observed.743",16
"observed.744",13
"observed.745",16
"observed.746",18
"observed.747",13
"observed.748",17
"observed.749",14
"observed.750",13
"observed.751",12
"observed.752",15
"observed.753",15
"observed.754",15
"observed.755",15
"observed.756",17
"observed.757",8
"observed.758",13
"observed.759",15
"observed.760",10
"observed.761",15
"observed.762",11
"observed.763",13
"observed.764",16
"observed.765",14
"observed.766",14
"observed.767",13
"observed.768",10
"observed.769",16
"observed.770",13
"observed.771",16
"observed.772",10
"observed.773",10
"observed.774",14
"observed.775",13
"observed.776",10
"observed.777",12
"observed.778",16
"observed.779",17
"observed.780",19
"observed.781",14
"observed.782",11
"observed.783",15
"observed.784",13
"observed.785",14
"observed.786",11
"observed.787",12
"observed.788",15
"observed.789",14
"observed.790",12
"observed.791",16
"observed.792",15
"observed.793",14
"observed.794",12
"observed.795",14
"observed.796",12
"observed.797",14
"observed.798",13
"observed.799",16
