"","1"
"observed",11
"observed.1",14
"observed.2",10
"observed.3",13
"observed.4",12
"observed.5",13
"observed.6",10
"observed.7",10
"observed.8",13
"observed.9",9
"observed.10",11
"observed.11",9
"observed.12",14
"observed.13",9
"observed.14",11
"observed.15",14
"observed.16",12
"observed.17",10
"observed.18",13
"observed.19",10
"observed.20",10
"observed.21",10
"observed.22",7
"observed.23",13
"observed.24",12
"observed.25",10
"observed.26",10
"observed.27",10
"observed.28",11
"observed.29",11
"observed.30",13
"observed.31",12
"observed.32",13
"observed.33",10
"observed.34",12
"observed.35",12
"observed.36",7
"observed.37",10
"observed.38",11
"observed.39",12
"observed.40",15
"observed.41",9
"observed.42",11
"observed.43",7
"observed.44",10
"observed.45",12
"observed.46",11
"observed.47",11
"observed.48",7
"observed.49",9
"observed.50",9
"observed.51",11
"observed.52",9
"observed.53",10
"observed.54",10
"observed.55",8
"observed.56",10
"observed.57",9
"observed.58",8
"observed.59",9
"observed.60",13
"observed.61",8
"observed.62",9
"observed.63",10
"observed.64",9
"observed.65",8
"observed.66",11
"observed.67",9
"observed.68",10
"observed.69",10
"observed.70",13
"observed.71",10
"observed.72",11
"observed.73",13
"observed.74",12
"observed.75",7
"observed.76",12
"observed.77",13
"observed.78",10
"observed.79",9
"observed.80",8
"observed.81",8
"observed.82",13
"observed.83",14
"observed.84",14
"observed.85",11
"observed.86",12
"observed.87",7
"observed.88",11
"observed.89",15
"observed.90",11
"observed.91",12
"observed.92",12
"observed.93",10
"observed.94",10
"observed.95",11
"observed.96",11
"observed.97",10
"observed.98",12
"observed.99",8
"observed.100",12
"observed.101",10
"observed.102",9
"observed.103",11
"observed.104",12
"observed.105",11
"observed.106",9
"observed.107",9
"observed.108",12
"observed.109",10
"observed.110",15
"observed.111",11
"observed.112",7
"observed.113",10
"observed.114",15
"observed.115",8
"observed.116",14
"observed.117",6
"observed.118",14
"observed.119",11
"observed.120",15
"observed.121",12
"observed.122",12
"observed.123",8
"observed.124",9
"observed.125",9
"observed.126",11
"observed.127",12
"observed.128",11
"observed.129",9
"observed.130",11
"observed.131",11
"observed.132",11
"observed.133",11
"observed.134",9
"observed.135",10
"observed.136",8
"observed.137",13
"observed.138",10
"observed.139",8
"observed.140",11
"observed.141",11
"observed.142",9
"observed.143",10
"observed.144",10
"observed.145",9
"observed.146",10
"observed.147",14
"observed.148",16
"observed.149",9
"observed.150",11
"observed.151",9
"observed.152",13
"observed.153",13
"observed.154",9
"observed.155",8
"observed.156",12
"observed.157",12
"observed.158",8
"observed.159",12
"observed.160",13
"observed.161",10
"observed.162",12
"observed.163",9
"observed.164",11
"observed.165",12
"observed.166",8
"observed.167",8
"observed.168",10
"observed.169",12
"observed.170",8
"observed.171",10
"observed.172",9
"observed.173",6
"observed.174",12
"observed.175",10
"observed.176",11
"observed.177",10
"observed.178",8
"observed.179",14
"observed.180",9
"observed.181",9
"observed.182",11
"observed.183",10
"observed.184",10
"observed.185",9
"observed.186",9
"observed.187",11
"observed.188",9
"observed.189",11
"observed.190",11
"observed.191",9
"observed.192",10
"observed.193",12
"observed.194",12
"observed.195",10
"observed.196",8
"observed.197",11
"observed.198",10
"observed.199",9
"observed.200",11
"observed.201",13
"observed.202",11
"observed.203",10
"observed.204",8
"observed.205",10
"observed.206",12
"observed.207",15
"observed.208",9
"observed.209",11
"observed.210",12
"observed.211",7
"observed.212",11
"observed.213",8
"observed.214",14
"observed.215",14
"observed.216",9
"observed.217",15
"observed.218",13
"observed.219",14
"observed.220",11
