"","1"
"observed",10
"observed.1",7
"observed.2",8
"observed.3",10
"observed.4",9
"observed.5",11
"observed.6",11
"observed.7",13
"observed.8",11
"observed.9",14
"observed.10",12
"observed.11",10
"observed.12",14
"observed.13",15
"observed.14",10
"observed.15",10
"observed.16",12
"observed.17",12
"observed.18",10
"observed.19",11
"observed.20",11
"observed.21",14
"observed.22",12
"observed.23",8
"observed.24",10
"observed.25",9
"observed.26",9
"observed.27",12
"observed.28",9
"observed.29",8
"observed.30",11
"observed.31",11
"observed.32",13
"observed.33",12
"observed.34",13
"observed.35",8
"observed.36",11
"observed.37",10
"observed.38",9
"observed.39",12
"observed.40",11
"observed.41",11
"observed.42",8
"observed.43",10
"observed.44",12
"observed.45",10
"observed.46",10
"observed.47",11
"observed.48",11
"observed.49",10
"observed.50",10
"observed.51",11
"observed.52",13
"observed.53",10
"observed.54",10
"observed.55",11
"observed.56",12
"observed.57",13
"observed.58",12
"observed.59",13
"observed.60",9
"observed.61",12
"observed.62",13
"observed.63",9
"observed.64",9
"observed.65",8
"observed.66",9
"observed.67",14
"observed.68",10
"observed.69",11
"observed.70",9
"observed.71",12
"observed.72",12
"observed.73",11
"observed.74",12
"observed.75",11
"observed.76",11
"observed.77",10
"observed.78",9
"observed.79",10
"observed.80",10
"observed.81",9
"observed.82",12
"observed.83",9
"observed.84",9
"observed.85",8
"observed.86",8
"observed.87",9
"observed.88",11
"observed.89",12
"observed.90",11
"observed.91",11
"observed.92",11
"observed.93",10
"observed.94",11
"observed.95",10
"observed.96",12
"observed.97",11
"observed.98",8
"observed.99",10
"observed.100",9
"observed.101",9
"observed.102",11
"observed.103",13
"observed.104",11
"observed.105",12
"observed.106",10
"observed.107",12
"observed.108",9
"observed.109",10
"observed.110",10
"observed.111",12
"observed.112",10
"observed.113",10
"observed.114",11
"observed.115",11
"observed.116",10
"observed.117",12
"observed.118",10
"observed.119",10
"observed.120",10
"observed.121",12
"observed.122",14
"observed.123",14
"observed.124",11
"observed.125",9
"observed.126",10
"observed.127",11
"observed.128",9
"observed.129",11
"observed.130",12
"observed.131",11
"observed.132",11
"observed.133",11
"observed.134",14
"observed.135",9
"observed.136",12
"observed.137",9
"observed.138",10
"observed.139",10
"observed.140",9
"observed.141",12
"observed.142",9
"observed.143",9
"observed.144",12
"observed.145",10
"observed.146",11
"observed.147",11
"observed.148",12
"observed.149",11
"observed.150",9
"observed.151",12
"observed.152",13
"observed.153",11
"observed.154",12
"observed.155",11
"observed.156",12
"observed.157",11
