"","1"
"observed",7
"observed.1",10
"observed.2",9
"observed.3",8
"observed.4",11
"observed.5",9
"observed.6",13
"observed.7",10
"observed.8",9
"observed.9",7
"observed.10",9
"observed.11",9
"observed.12",7
"observed.13",7
"observed.14",8
"observed.15",12
"observed.16",10
"observed.17",9
"observed.18",8
"observed.19",13
"observed.20",9
"observed.21",11
"observed.22",10
"observed.23",7
"observed.24",9
"observed.25",11
"observed.26",9
"observed.27",8
"observed.28",11
"observed.29",11
"observed.30",10
"observed.31",11
"observed.32",9
"observed.33",10
"observed.34",11
"observed.35",10
"observed.36",13
"observed.37",12
"observed.38",8
"observed.39",10
"observed.40",9
"observed.41",11
"observed.42",11
"observed.43",10
"observed.44",7
"observed.45",10
"observed.46",12
"observed.47",8
"observed.48",10
"observed.49",11
"observed.50",7
"observed.51",10
"observed.52",8
"observed.53",9
"observed.54",10
"observed.55",11
"observed.56",9
"observed.57",10
"observed.58",12
"observed.59",10
"observed.60",10
"observed.61",11
"observed.62",8
"observed.63",8
"observed.64",10
"observed.65",11
"observed.66",13
"observed.67",9
"observed.68",10
"observed.69",11
"observed.70",10
"observed.71",7
"observed.72",11
"observed.73",11
"observed.74",9
"observed.75",11
"observed.76",9
"observed.77",9
"observed.78",12
"observed.79",9
"observed.80",11
"observed.81",8
"observed.82",9
"observed.83",8
"observed.84",11
"observed.85",7
"observed.86",10
"observed.87",10
"observed.88",13
"observed.89",10
"observed.90",7
"observed.91",13
"observed.92",9
"observed.93",9
"observed.94",9
"observed.95",8
"observed.96",12
"observed.97",12
"observed.98",8
"observed.99",12
"observed.100",9
"observed.101",12
"observed.102",9
"observed.103",9
"observed.104",10
"observed.105",9
"observed.106",11
"observed.107",12
"observed.108",12
"observed.109",10
"observed.110",8
"observed.111",15
"observed.112",9
"observed.113",9
"observed.114",9
"observed.115",10
"observed.116",9
"observed.117",7
"observed.118",9
"observed.119",11
"observed.120",10
"observed.121",9
"observed.122",12
"observed.123",7
"observed.124",7
"observed.125",9
"observed.126",10
"observed.127",9
"observed.128",9
"observed.129",11
"observed.130",13
"observed.131",9
"observed.132",8
"observed.133",7
"observed.134",11
"observed.135",10
"observed.136",11
"observed.137",9
"observed.138",10
"observed.139",12
"observed.140",10
"observed.141",9
"observed.142",9
"observed.143",7
"observed.144",10
"observed.145",11
"observed.146",8
"observed.147",11
"observed.148",6
"observed.149",9
"observed.150",10
"observed.151",8
"observed.152",11
"observed.153",11
"observed.154",13
"observed.155",10
"observed.156",10
"observed.157",13
"observed.158",12
"observed.159",12
"observed.160",9
"observed.161",7
"observed.162",8
"observed.163",9
"observed.164",10
"observed.165",8
"observed.166",8
"observed.167",12
"observed.168",11
"observed.169",10
"observed.170",11
"observed.171",13
"observed.172",8
"observed.173",8
"observed.174",12
"observed.175",10
"observed.176",10
"observed.177",11
"observed.178",8
"observed.179",10
"observed.180",10
"observed.181",11
"observed.182",10
"observed.183",10
"observed.184",10
"observed.185",11
"observed.186",11
"observed.187",11
"observed.188",9
"observed.189",8
"observed.190",10
"observed.191",9
"observed.192",9
"observed.193",10
"observed.194",10
"observed.195",11
"observed.196",8
"observed.197",8
"observed.198",7
"observed.199",9
"observed.200",11
"observed.201",9
"observed.202",11
"observed.203",13
"observed.204",8
"observed.205",8
"observed.206",11
"observed.207",11
"observed.208",6
"observed.209",11
