"","1"
"observed",11
"observed.1",13
"observed.2",9
"observed.3",12
"observed.4",10
"observed.5",12
"observed.6",9
"observed.7",10
"observed.8",9
"observed.9",12
"observed.10",10
"observed.11",10
"observed.12",13
"observed.13",12
"observed.14",8
"observed.15",12
"observed.16",10
"observed.17",8
"observed.18",10
"observed.19",11
"observed.20",10
"observed.21",8
"observed.22",13
"observed.23",14
"observed.24",12
"observed.25",12
"observed.26",11
"observed.27",11
"observed.28",7
"observed.29",10
"observed.30",11
"observed.31",11
"observed.32",9
"observed.33",10
"observed.34",9
"observed.35",9
"observed.36",9
"observed.37",9
"observed.38",9
"observed.39",8
"observed.40",10
"observed.41",11
"observed.42",11
"observed.43",8
"observed.44",13
"observed.45",7
"observed.46",10
"observed.47",10
"observed.48",11
"observed.49",11
"observed.50",10
"observed.51",10
"observed.52",9
"observed.53",12
"observed.54",9
"observed.55",12
"observed.56",11
"observed.57",11
"observed.58",12
"observed.59",11
"observed.60",13
"observed.61",10
"observed.62",13
"observed.63",13
"observed.64",8
"observed.65",9
"observed.66",11
"observed.67",10
"observed.68",9
"observed.69",10
"observed.70",9
"observed.71",11
"observed.72",15
"observed.73",11
"observed.74",9
"observed.75",11
"observed.76",12
"observed.77",11
"observed.78",12
"observed.79",12
"observed.80",10
"observed.81",11
"observed.82",12
"observed.83",9
"observed.84",10
"observed.85",11
"observed.86",12
"observed.87",12
"observed.88",12
"observed.89",11
"observed.90",10
"observed.91",9
"observed.92",11
"observed.93",10
"observed.94",14
"observed.95",11
"observed.96",11
"observed.97",10
"observed.98",11
"observed.99",11
"observed.100",11
"observed.101",12
"observed.102",12
"observed.103",12
"observed.104",10
"observed.105",10
"observed.106",8
"observed.107",9
"observed.108",9
"observed.109",10
"observed.110",12
"observed.111",11
"observed.112",14
"observed.113",11
"observed.114",11
"observed.115",13
"observed.116",9
"observed.117",11
"observed.118",12
"observed.119",7
"observed.120",9
"observed.121",9
"observed.122",12
"observed.123",10
"observed.124",12
"observed.125",11
"observed.126",8
"observed.127",11
"observed.128",12
"observed.129",12
"observed.130",13
"observed.131",11
"observed.132",13
"observed.133",11
"observed.134",10
"observed.135",11
"observed.136",11
"observed.137",11
"observed.138",11
"observed.139",12
"observed.140",13
"observed.141",11
"observed.142",11
"observed.143",11
"observed.144",11
"observed.145",12
"observed.146",10
"observed.147",10
"observed.148",12
"observed.149",13
"observed.150",11
"observed.151",11
"observed.152",10
"observed.153",6
"observed.154",10
"observed.155",10
"observed.156",11
"observed.157",11
"observed.158",8
"observed.159",11
"observed.160",10
"observed.161",9
"observed.162",10
"observed.163",11
"observed.164",13
"observed.165",12
"observed.166",10
"observed.167",10
"observed.168",9
