"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X12","average"
"Mean percentages",27.362,350.189,172.786,172.282,493.349,124.96,345.791,425.661,328.71,400.632,227.873,279.054090909091
"Transfer 1 start",59.183,46.959,132.087,188.085,125.589,146.606,115.463,75.424,92.508,70.212,61.001,101.192454545455
