"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X12","average"
"Mean percentages",66.604,51.079,93.222,93.915,87.064,128.834,81.974,54.071,85.848,93.182,85.221,83.7285454545455
"Transfer 1 start",84.384,8.38,102.812,109.323,40.595,133.035,49.833,36.32,78.701,43.926,51.814,67.193
