"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X12","average"
"Mean percentages",292.127,1870.263,1018.1,1140.325,2850.809,1198.264,1554.928,1527.27,2003.289,1942.089,778.664,1470.55709090909
"Transfer 1 start",636.581,332.841,1041.262,1240.322,943.506,1284.985,564.189,263.395,1071.633,252.107,180.806,710.147909090909
