"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X12","average"
"Mean percentages",154.792,263.893,252.295,253.233,395.272,287.382,273.49,206.429,338.939,343.854,237.415,273.363090909091
"Transfer 1 start",226.676,56.906,276.08,287.648,157.278,303.886,136.648,86.789,257.865,105.139,110.63,182.322272727273
